P_max,n_primes,T,T_idx,S_approx,S_ref,error_S,rel_error_S,N_approx,N_ref,error_N,error_smooth,improvement,time_ms
1511,239,3139939.9798384504,7,-0.9721517797803021,0.9580448740462444,1.9301966538265465,201.47246816054428,6057730.069803345,6057730,0.06980334501713514,1.0419551245868206,93.30073403642838,0.14853477478027344
1511,239,4808843.628725745,8,-0.8668864761369518,0.853499704118016,1.7203861802549678,201.5684565506404,9603696.27961382,9603696,0.279613820835948,1.1465002968907356,75.61153524388526,0.1850128173828125
2376,351,100.0,0,0.08634500456090334,-0.0024099022718167,0.08875490683272004,3682.9255638575055,29.088688591886253,29,0.08868859188625322,0.002343587325349006,-3684.309247919565,0.25010108947753906
2376,351,124.1145468943691,1,0.19619533215283053,-0.0526081147436789,0.24880344689650943,472.9373939909228,40.248750016567506,40,0.24875001656750584,0.05255468441467315,-373.3165451147784,0.23889541625976562
2376,351,294.5190769508315,2,-0.5075736576199303,-0.3476525069644657,0.15992115065546464,46.00028691057606,133.84005633311068,134,0.15994366688931905,0.34762999073060996,53.99025655031452,0.2853870391845703
2376,351,867.4148668796988,3,0.016247545295091773,-0.0989633716843822,0.11521091697947397,116.41773619729638,543.115203271899,543,0.11520327189896307,0.09895572660389007,-16.419004591932616,4.376649856567383
2376,351,7395.165672598326,4,0.08578361981578775,0.0441366995286279,0.04164692028715985,94.35893651301875,7146.041646023558,7146,0.04164602355831448,0.044137596257314726,5.645012212434035,0.28324127197265625
2376,351,294187.83250721806,5,0.25591935909586944,0.1978798282030371,0.05803953089283234,29.33069601883834,456702.05803950835,456702,0.05803950835252181,0.19787985074799508,70.66931871379035,0.2651214599609375
2376,351,1511531.4462892578,6,0.22770316316650047,-0.0621446757586852,0.2898478389251857,466.4081602914747,2740249.289847835,2740249,0.2898478349670768,0.06214467203244567,-366.408181888461,0.2770423889160156
2376,351,3139939.9798384504,7,-1.0317399225422237,0.9580448740462444,1.989784796588468,207.6922334738594,6057730.010215202,6057730,0.01021520234644413,1.0419551245868206,99.0196120633799,4.823207855224609
